mintel_index,mintel_company,ultimate_company,compustat_conm,cosine_score,entityOne,entityTwo,Answer,Explanation
10,Neutrogena,Johnson & Johnson,JOHNSON & JOHNSON,0.6776132924449398,Neutrogena | Johnson & Johnson,JOHNSON & JOHNSON,Yes,"Neutrogena is a brand owned by Johnson & Johnson, so both entity names refer to the same overall corporate entity."
11,Bobbi Brown,Este Lauder,ESTEE LAUDER COMPANIES INC,0.5635058642169201,Bobbi Brown | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Bobbi Brown is a brand owned by Estee Lauder Companies Inc., indicating a parent–subsidiary relationship."
12,Campbell,Campbell Soup,CAMPBELL SOUP CO,0.8177962693077749,Campbell | Campbell Soup,CAMPBELL SOUP CO,Yes,Campbell Soup is a brand under the parent company Campbell Soup Company.
13,Minute Maid,The Coca-Cola Company,COCA-COLA CO,0.5219745587203688,Minute Maid | The Coca-Cola Company,COCA-COLA CO,Yes,"Minute Maid is a brand owned by The Coca-Cola Company, and COCA-COLA CO is a variant of The Coca-Cola Company's name."
14,Clorox,Clorox,CLOROX CO/DE,0.7645204445975227,Clorox | Clorox,CLOROX CO/DE,Yes,"Both names refer to The Clorox Company, often stylized as 'Clorox', which is a well-known multinational manufacturer and marketer of consumer and professional products."
15,Clinique,Este Lauder,ESTEE LAUDER COMPANIES INC,0.570366300107953,Clinique | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Estee Lauder Companies Inc. is the parent company, and Clinique is one of its brands."
16,Ross Products,Abbott Laboratories,ABBOTT LABORATORIES,0.6603805029581221,Ross Products | Abbott Laboratories,ABBOTT LABORATORIES,Yes,"Ross Products is a division of Abbott Laboratories, so both entities are related as part of the same corporate structure."
17,Hunt-Wesson,ConAgra Foods,CONAGRA BRANDS INC,0.6420126717450403,Hunt-Wesson | ConAgra Foods,CONAGRA BRANDS INC,Yes,"ConAgra Brands Inc., previously known as ConAgra Foods, owns Hunt-Wesson, making them part of the same corporate entity."
18,ConAgra Foods,ConAgra Foods,CONAGRA BRANDS INC,0.7396412146380498,ConAgra Foods | ConAgra Foods,CONAGRA BRANDS INC,Yes,"ConAgra Foods rebranded to ConAgra Brands Inc, indicating they refer to the same corporate entity."
19,Gillette,Procter & Gamble,PROCTER & GAMBLE CO,0.660729160775785,Gillette | Procter & Gamble,PROCTER & GAMBLE CO,Yes,"Gillette is a brand owned by Procter & Gamble, and PROCTER & GAMBLE CO refers to the parent company."
20,Colgate-Palmolive,Colgate-Palmolive,COLGATE-PALMOLIVE CO,0.7832917995421596,Colgate-Palmolive | Colgate-Palmolive,COLGATE-PALMOLIVE CO,Yes,"Both entities are variations of the name referring to the same company, Colgate-Palmolive."
21,Pfizer,Pfizer,PFIZER INC,0.74693433966106,Pfizer | Pfizer,PFIZER INC,Yes,"Pfizer and Pfizer Inc. refer to the same company, with Pfizer Inc. being the formal corporate name."
22,Frito-Lay,PepsiCo,PEPSICO INC,0.6233935421067792,Frito-Lay | PepsiCo,PEPSICO INC,Yes,"Frito-Lay is a subsidiary of PepsiCo, and PEPSICO INC refers to the parent company, PepsiCo."
23,Christie Brown,Mondelez International,MONDELEZ INTERNATIONAL INC,0.6422460618493341,Christie Brown | Mondelez International,MONDELEZ INTERNATIONAL INC,Yes,"Christie Brown is a brand owned by Mondelez International, and Mondelez International Inc is the full name of Mondelez International. Thus, they are related through a parent-brand relationship."
24,Aramis,Este Lauder,ESTEE LAUDER COMPANIES INC,0.4897561864886756,Aramis | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Aramis is a brand owned by The Estée Lauder Companies Inc., a multinational manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products."
25,3M,3M,3M CO,0.7627413334003748,3M | 3M,3M CO,Yes,"3M CO is a commonly used abbreviation for 3M Company, indicating they refer to the same corporate entity."
26,Oral-B,Procter & Gamble,PROCTER & GAMBLE CO,0.6193058169028471,Oral-B | Procter & Gamble,PROCTER & GAMBLE CO,Yes,"Oral-B is a brand owned by Procter & Gamble, and the Procter & Gamble Co is the parent company, so they are related entities."
27,Prescriptives,Este Lauder,ESTEE LAUDER COMPANIES INC,0.603578969718128,Prescriptives | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Prescriptives is a brand owned by Estee Lauder, and Estee Lauder is a part of Estee Lauder Companies Inc."
28,Bayer HealthCare,Bayer,BAYER AG,0.7509034009480577,Bayer HealthCare | Bayer,BAYER AG,Yes,"Bayer HealthCare is a division of Bayer AG, which is a global pharmaceutical and life sciences company."
29,Culinar,Saputo Group,SAPUTO INC,0.6380966423148714,Culinar | Saputo Group,SAPUTO INC,Yes,"Culinar is a brand owned by Saputo Inc., which is part of the Saputo Group. Saputo Inc. is the parent company, thus they are related."
30,Hormel Foods,Hormel Foods,HORMEL FOODS CORP,0.792869126447525,Hormel Foods | Hormel Foods,HORMEL FOODS CORP,Yes,"Hormel Foods and HORMEL FOODS CORP refer to the same company, with the latter being the corporate form of the former."
31,Kashi,Kellogg,GENERAL MILLS INC,0.4767664457376011,Kashi | Kellogg,GENERAL MILLS INC,No,"Kashi is owned by Kellogg, while GENERAL MILLS INC is a separate company."
32,Melting Pot Foods,Hormel Foods,HORMEL FOODS CORP,0.6316246074089131,Melting Pot Foods | Hormel Foods,HORMEL FOODS CORP,Yes,"Hormel Foods Corp is the parent company of various brands, and Melting Pot Foods is likely a brand or subsidiary under Hormel Foods."
33,Molson Coors Brewing,Molson Coors Brewing,MOLSON COORS BEVERAGE CO,0.8033053077066683,Molson Coors Brewing | Molson Coors Brewing,MOLSON COORS BEVERAGE CO,Yes,"Molson Coors Brewing changed its name to Molson Coors Beverage Company, so they refer to the same corporate entity."
34,Blue Sky Beverage,The Coca-Cola Company,COCA-COLA CO,0.5758296706644119,Blue Sky Beverage | The Coca-Cola Company,COCA-COLA CO,Yes,"Blue Sky Beverage is a brand owned by The Coca-Cola Company, which is the same as COCA-COLA CO."
35,Jennie-O Turkey Store,Hormel Foods,HORMEL FOODS CORP,0.5639305958666865,Jennie-O Turkey Store | Hormel Foods,HORMEL FOODS CORP,Yes,Jennie-O Turkey Store is a brand owned by Hormel Foods Corporation.
36,Tyson Foods,Tyson Foods,TYSON FOODS INC  -CL A,0.7430849429966204,Tyson Foods | Tyson Foods,TYSON FOODS INC  -CL A,Yes,"Tyson Foods and TYSON FOODS INC -CL A refer to the same company, where the latter denotes a specific class of stock in the publicly traded company Tyson Foods Inc."
37,Coca-Cola,The Coca-Cola Company,COCA-COLA CO,0.7010680613010233,Coca-Cola | The Coca-Cola Company,COCA-COLA CO,Yes,"COCA-COLA CO is another name for The Coca-Cola Company, which owns the Coca-Cola brand."
38,Tambrands,Procter & Gamble,PROCTER & GAMBLE CO,0.6305133235337635,Tambrands | Procter & Gamble,PROCTER & GAMBLE CO,Yes,"Tambrands is a subsidiary of Procter & Gamble, which is represented by 'Procter & Gamble Co.' as the parent company."
39,Bausch & Lomb,Valeant Pharmaceuticals,BAUSCH HEALTH COMPANIES INC,0.6627763882883189,Bausch & Lomb | Valeant Pharmaceuticals,BAUSCH HEALTH COMPANIES INC,Yes,"Valeant Pharmaceuticals rebranded to Bausch Health Companies Inc. in 2018, and Bausch & Lomb is a subsidiary under this parent company."
40,Coors Brewing,Molson Coors Brewing,MOLSON COORS BEVERAGE CO,0.7559214634478805,Coors Brewing | Molson Coors Brewing,MOLSON COORS BEVERAGE CO,Yes,"Molson Coors Beverage Co is the parent company of Coors Brewing, and it owns Molson Coors Brewing."
41,Odwalla,The Coca-Cola Company,COCA-COLA CO,0.5370367815016447,Odwalla | The Coca-Cola Company,COCA-COLA CO,Yes,"Odwalla was a brand owned by The Coca-Cola Company, which is commonly referred to as COCA-COLA CO."
42,Novartis Consumer Health,Novartis,NOVARTIS AG,0.6584244039352857,Novartis Consumer Health | Novartis,NOVARTIS AG,Yes,"Novartis Consumer Health is a division under the larger Novartis company, and NOVARTIS AG is the overarching parent company."
43,Goodmark Foods,ConAgra Foods,CONAGRA BRANDS INC,0.6715997425929969,Goodmark Foods | ConAgra Foods,CONAGRA BRANDS INC,Yes,"ConAgra Foods, known now as ConAgra Brands Inc, owns Goodmark Foods, making Goodmark Foods a part of the ConAgra corporate family."
44,Tuscan Dairy Farms,Tuscan Dairy Farms,LAND O'LAKES INC,0.4554629545984883,Tuscan Dairy Farms | Tuscan Dairy Farms,LAND O'LAKES INC,No,"Tuscan Dairy Farms is a subsidiary of Dean Foods, while Land O'Lakes, Inc. is a separate agricultural cooperative. They are not related in terms of corporate structure."
45,McNeil Consumer Products,Johnson & Johnson,JOHNSON & JOHNSON,0.6595987248253367,McNeil Consumer Products | Johnson & Johnson,JOHNSON & JOHNSON,Yes,"McNeil Consumer Products is a subsidiary of Johnson & Johnson, indicating a parent-subsidiary relationship."
46,ConAgra Frozen Foods,ConAgra Foods,CONAGRA BRANDS INC,0.717905921404418,ConAgra Frozen Foods | ConAgra Foods,CONAGRA BRANDS INC,Yes,"ConAgra Frozen Foods and ConAgra Foods are part of Conagra Brands Inc., which is the overarching company."
47,Sassaby Cosmetics,Este Lauder,ESTEE LAUDER COMPANIES INC,0.614739054495867,Sassaby Cosmetics | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Este Lauder, often referred to in relation to Sassaby Cosmetics, is under the umbrella of the Estee Lauder Companies Inc, which is the parent company and owns multiple brands and subsidiaries."
48,Jerome Foods,Jerome Foods,HORMEL FOODS CORP,0.4753154768323373,Jerome Foods | Jerome Foods,HORMEL FOODS CORP,Yes,"Jerome Foods is a subsidiary of Hormel Foods Corporation, which acquired the company."
49,Starbucks Coffee,Starbucks Coffee,STARBUCKS CORP,0.7280477331635559,Starbucks Coffee | Starbucks Coffee,STARBUCKS CORP,Yes,Starbucks Coffee is a brand owned by Starbucks Corporation.
50,Sunfresh,Associated Wholesale Grocers,KROGER CO,0.4920482373453892,Sunfresh | Associated Wholesale Grocers,KROGER CO,No,"Sunfresh is associated with Associated Wholesale Grocers, while Kroger Co is a separate grocery retail company with no reported affiliation."
51,Robin Hood Multifoods,J.M. Smucker,SMUCKER (JM) CO,0.6194000176676057,Robin Hood Multifoods | J.M. Smucker,SMUCKER (JM) CO,Yes,"Robin Hood Multifoods is associated with J.M. Smucker, as they are a subsidiary or brand under the J.M. Smucker Company, and SMUCKER (JM) CO refers to the same parent company."
52,HV Food Products,Clorox,CLOROX CO/DE,0.5989875962387704,HV Food Products | Clorox,CLOROX CO/DE,Yes,"HV Food Products is a brand owned by Clorox, and CLOROX CO/DE refers to The Clorox Company, which is the parent company."
53,StockPot Soups,Campbell Soup,CAMPBELL SOUP CO,0.6881675992696737,StockPot Soups | Campbell Soup,CAMPBELL SOUP CO,Yes,"StockPot Soups is a brand under the umbrella of Campbell Soup Company, which is represented by the entity name 'CAMPBELL SOUP CO'. Thus, both entities are related through the parent company."
54,Ralph Lauren Fragrances Luxury Products,L'Oral,RALPH LAUREN CORP,0.6441110395035813,Ralph Lauren Fragrances Luxury Products | L'Oral,RALPH LAUREN CORP,No,"Ralph Lauren Fragrances Luxury Products is a brand under L'Oréal, which has a licensing agreement. Ralph Lauren Corp is an independent company primarily focused on fashion and apparel. They are separate entities."
55,PepsiCo,PepsiCo,PEPSICO INC,0.7514156073115957,PepsiCo | PepsiCo,PEPSICO INC,Yes,PEPSICO INC is the official legal name of the company commonly known as PepsiCo. They are the same entity.
56,United Natural Foods / UNFI,United Natural Foods / UNFI,UNITED NATURAL FOODS INC,0.7713982753708144,United Natural Foods / UNFI | United Natural Foods / UNFI,UNITED NATURAL FOODS INC,Yes,"Both entity names refer to United Natural Foods, Inc., which is often abbreviated as UNFI."
57,On-Cor Frozen Foods,On-Cor Frozen Foods,HORMEL FOODS CORP,0.4700973226505759,On-Cor Frozen Foods | On-Cor Frozen Foods,HORMEL FOODS CORP,Yes,"On-Cor Frozen Foods is a brand that falls under the umbrella of Hormel Foods Corp, making them part of the same corporate structure."
58,Stagg Foods,Stagg Foods,HORMEL FOODS CORP,0.437008207021165,Stagg Foods | Stagg Foods,HORMEL FOODS CORP,Yes,Stagg Foods is a brand that is owned by Hormel Foods Corporation.
59,J.M. Smucker,J.M. Smucker,SMUCKER (JM) CO,0.7715773981270241,J.M. Smucker | J.M. Smucker,SMUCKER (JM) CO,Yes,"Both names refer to the same company, as 'J.M. Smucker' and 'SMUCKER (JM) CO' are alternate presentations of the same publicly traded corporation's name."
60,Malt-O-Meal,Malt-O-Meal,GENERAL MILLS INC,0.5461587674523405,Malt-O-Meal | Malt-O-Meal,GENERAL MILLS INC,No,"Malt-O-Meal is a brand owned by Post Holdings, not General Mills, Inc."
61,Campbell Soup,Campbell Soup,CAMPBELL SOUP CO,0.8100127420652259,Campbell Soup | Campbell Soup,CAMPBELL SOUP CO,Yes,"Campbell Soup and CAMPBELL SOUP CO refer to the same company, with the latter being a stylization of the company's full name."
62,Sanofi Beaute,Sanofi Beaute,SANOFI,0.6581541692163319,Sanofi Beaute | Sanofi Beaute,SANOFI,Yes,"Sanofi Beaute is a brand or subsidiary under the larger pharmaceutical and healthcare company, Sanofi."
63,Este Lauder,Este Lauder,ESTEE LAUDER COMPANIES INC,0.6434290245577065,Este Lauder | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Este Lauder is a brand within the Estee Lauder Companies Inc, which is the parent company."
64,C. H. Robinson,C. H. Robinson,C H ROBINSON WORLDWIDE INC,0.7680747297257216,C. H. Robinson | C. H. Robinson,C H ROBINSON WORLDWIDE INC,Yes,"C. H. Robinson is a logistics and supply chain company, and C H Robinson Worldwide Inc is its full legal name, indicating the same company."
65,Origins Natural Resources,Este Lauder,ESTEE LAUDER COMPANIES INC,0.5312825214141146,Origins Natural Resources | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,Origins Natural Resources is a brand owned by the Estée Lauder Companies Inc.
66,South Beach Beverage,PepsiCo,PEPSICO INC,0.5752508965143434,South Beach Beverage | PepsiCo,PEPSICO INC,Yes,"South Beach Beverage is a brand owned by PepsiCo, and PEPSICO INC refers to the parent company."
67,Saputo Cheese,Saputo Group,SAPUTO INC,0.7279067323036121,Saputo Cheese | Saputo Group,SAPUTO INC,Yes,"Saputo Inc. is the parent company of Saputo Group, and Saputo Cheese is a brand under Saputo Group. They refer to the same corporate entity structure."
68,Land O'Lakes,Land O'Lakes,LAND O'LAKES INC,0.8010024123682807,Land O'Lakes | Land O'Lakes,LAND O'LAKES INC,Yes,"Land O'Lakes and LAND O'LAKES INC refer to the same company, with the latter being its formal corporate name."
69,Nabisco,Mondelez International,MONDELEZ INTERNATIONAL INC,0.7312719506766923,Nabisco | Mondelez International,MONDELEZ INTERNATIONAL INC,Yes,Mondelez International owns Nabisco and is officially known as Mondelez International Inc.
70,Hershey,Hershey,HERSHEY CO,0.7676421543441903,Hershey | Hershey,HERSHEY CO,Yes,"HERSHEY CO is the corporate name of the company widely known as Hershey, which owns the Hershey brand."
71,Arbor Mist Winery,Constellation Brands,CONSTELLATION BRANDS,0.6556611926584941,Arbor Mist Winery | Constellation Brands,CONSTELLATION BRANDS,Yes,"Arbor Mist Winery is a brand that is owned by Constellation Brands, making them part of the same parent company."
72,NeoStrata,Johnson & Johnson,JOHNSON & JOHNSON,0.5861539384976077,NeoStrata | Johnson & Johnson,JOHNSON & JOHNSON,Yes,"NeoStrata is a skincare brand that is owned by Johnson & Johnson, making it part of the same corporate structure."
73,Wright Brand Foods,Tyson Foods,TYSON FOODS INC  -CL A,0.5600909452860222,Wright Brand Foods | Tyson Foods,TYSON FOODS INC  -CL A,Yes,"Wright Brand Foods is a brand owned by Tyson Foods, while 'TYSON FOODS INC -CL A' refers to a class of shares in the parent company, Tyson Foods."
74,Mott's North America,Mott's North America,SMUCKER (JM) CO,0.4321145266807257,Mott's North America | Mott's North America,SMUCKER (JM) CO,Yes,"Mott's North America is a brand owned by Keurig Dr Pepper, not JM Smucker Co. However, entities can often appear related in acquisitions or licensing agreements. This connection might be indirect or historical."
75,BD Herbs,BD Herbs,BECTON DICKINSON & CO,0.4212486436570327,BD Herbs | BD Herbs,BECTON DICKINSON & CO,No,"BD Herbs does not appear to be a known subsidiary or brand under Becton Dickinson & Co., which is a company primarily involved in medical devices and instruments."
76,CAG Functional Foods,ConAgra Foods,CONAGRA BRANDS INC,0.6385558903977552,CAG Functional Foods | ConAgra Foods,CONAGRA BRANDS INC,Yes,"ConAgra Foods is a former name of Conagra Brands, Inc., and CAG Functional Foods is likely a division or brand under Conagra, indicating they are part of the same corporate structure."
77,Personal Products Company,Johnson & Johnson,JOHNSON & JOHNSON,0.7233998102875747,Personal Products Company | Johnson & Johnson,JOHNSON & JOHNSON,Yes,"Personal Products Company is a business unit or division under the parent company Johnson & Johnson, indicating a subsidiary relationship."
78,Quaker Oats,PepsiCo,PEPSICO INC,0.5960995775538845,Quaker Oats | PepsiCo,PEPSICO INC,Yes,"Quaker Oats is a brand owned by PepsiCo. Therefore, both entities are related and refer to the same company structure."
79,Stella D'Oro Biscuit,Mondelez International,MONDELEZ INTERNATIONAL INC,0.6497841570821051,Stella D'Oro Biscuit | Mondelez International,MONDELEZ INTERNATIONAL INC,Yes,"Both entities refer to Mondelēz International, which owns various snack brands, potentially including Stella D'Oro Biscuit."
80,McKesson Water Products,McKesson Water Products,MCKESSON CORP,0.5820378060346862,McKesson Water Products | McKesson Water Products,MCKESSON CORP,Yes,"McKesson Water Products is a brand or subsidiary of the parent company McKesson Corp, which is a large healthcare services and supply chain management company."
81,Kroger,Kroger,KROGER CO,0.7650949595270615,Kroger | Kroger,KROGER CO,Yes,"Kroger and KROGER CO refer to the same company, with KROGER CO being the formal name of the corporation."
82,Wal-Mart,Wal-Mart,WALMART INC,0.7271223842181452,Wal-Mart | Wal-Mart,WALMART INC,Yes,"Wal-Mart and Walmart Inc refer to the same company, as 'Wal-Mart' is the former name of the corporation now officially known as Walmart Inc."
83,Walgreen,Walgreens Boots Alliance,WALGREENS BOOTS ALLIANCE INC,0.7847908143655471,Walgreen | Walgreens Boots Alliance,WALGREENS BOOTS ALLIANCE INC,Yes,"Walgreens Boots Alliance, Inc. is the parent company of the Walgreens brand, and it is referred to by either name."
84,Eckerd,Rite Aid,RITE AID CORP,0.6036393547351686,Eckerd | Rite Aid,RITE AID CORP,Yes,"Rite Aid Corporation acquired the Eckerd pharmacy chain, and therefore, Eckerd became part of Rite Aid. As such, references to Eckerd in this context could relate to Rite Aid Corporation."
85,Taylor Wine,Constellation Brands,CONSTELLATION BRANDS,0.7099976770445927,Taylor Wine | Constellation Brands,CONSTELLATION BRANDS,Yes,Taylor Wine is a brand owned by Constellation Brands.
86,Rite Aid,Rite Aid,RITE AID CORP,0.7240957596346291,Rite Aid | Rite Aid,RITE AID CORP,Yes,"Rite Aid and RITE AID CORP refer to the same company, with the latter being the formal corporate name of the entity."
87,Provigo,George Weston,LOBLAW COS LTD,0.5652536505782894,Provigo | George Weston,LOBLAW COS LTD,Yes,"Provigo is a subsidiary of Loblaw Companies Limited, which is a subsidiary of George Weston Limited. Thus, the entities are connected through corporate structure."
88,Becton Dickinson,Becton Dickinson,BECTON DICKINSON & CO,0.78670547422456,Becton Dickinson | Becton Dickinson,BECTON DICKINSON & CO,Yes,Becton Dickinson and BECTON DICKINSON & CO refer to the same company. BECTON DICKINSON & CO is the full legal name of the company commonly known as Becton Dickinson.
89,Hershey Import,The Hershey Company,HERSHEY CO,0.6909908351122127,Hershey Import | The Hershey Company,HERSHEY CO,Yes,"Hershey Import refers to The Hershey Company, and The Hershey Company is commonly abbreviated as HERSHEY CO."
90,Greenbrier International,Dollar Tree Stores,DOLLAR TREE INC,0.7045577523605813,Greenbrier International | Dollar Tree Stores,DOLLAR TREE INC,Yes,"Greenbrier International is a subsidiary of Dollar Tree Stores, which is a division of Dollar Tree Inc. They are part of the same corporate structure."
91,Woolwich & Nova Cheese Dairy,Woolwich & Nova Cheese Dairy,WESTON (GEORGE) LTD,0.4056730174045108,Woolwich & Nova Cheese Dairy | Woolwich & Nova Cheese Dairy,WESTON (GEORGE) LTD,No,Woolwich & Nova Cheese Dairy and WESTON (GEORGE) LTD are not known to be the same company nor a parent-subsidiary relationship. They are distinct entities without public information linking them.
92,Seattle's Best Coffee,Inventure Foods,STARBUCKS CORP,0.5402843342541005,Seattle's Best Coffee | Inventure Foods,STARBUCKS CORP,Yes,"Seattle's Best Coffee is a subsidiary of Starbucks Corp. Inventure Foods is not directly related, but the key entity, Seattle's Best Coffee, is owned by Starbucks."
93,Pfizer Animal Health,Pfizer,PFIZER INC,0.612954291317336,Pfizer Animal Health | Pfizer,PFIZER INC,Yes,"Pfizer Animal Health was a subsidiary of Pfizer Inc, which is the parent company. Pfizer Animal Health was later rebranded to Zoetis, but it was originally part of Pfizer."
94,Pilgrim's Pride,Pilgrim's Pride,PILGRIM'S PRIDE CORP,0.8136231386025815,Pilgrim's Pride | Pilgrim's Pride,PILGRIM'S PRIDE CORP,Yes,"Both entities refer to the same company, Pilgrim's Pride Corporation, which is commonly referred to as Pilgrim's Pride."
95,Corporate Foods,Corporate Foods,HORMEL FOODS CORP,0.505086258607532,Corporate Foods | Corporate Foods,HORMEL FOODS CORP,No,"Although both entities are related to the food industry, there is no well-known parent-subsidiary or brand relationship between Corporate Foods and Hormel Foods Corp."
96,Pace Foods,Campbell Soup,CAMPBELL SOUP CO,0.6693146693616178,Pace Foods | Campbell Soup,CAMPBELL SOUP CO,Yes,"Pace Foods is a brand owned by Campbell Soup Company, so they are related through a parent-brand relationship."
97,Smucker Quality Beverages,J.M. Smucker,SMUCKER (JM) CO,0.6515680704016072,Smucker Quality Beverages | J.M. Smucker,SMUCKER (JM) CO,Yes,"Smucker Quality Beverages is a brand under J.M. Smucker, and SMUCKER (JM) CO refers to the J.M. Smucker Company. Both entities are part of the same corporate structure."
98,Scharffen Berger Chocolate Maker,The Hershey Company,HERSHEY CO,0.6420827008301793,Scharffen Berger Chocolate Maker | The Hershey Company,HERSHEY CO,Yes,"Scharffen Berger Chocolate Maker was acquired by The Hershey Company, and Hershey Co is a common name for The Hershey Company."
99,Muir Glen Organic,General Mills,GENERAL MILLS INC,0.5748255821722612,Muir Glen Organic | General Mills,GENERAL MILLS INC,Yes,"Muir Glen Organic is a brand owned by General Mills, and General Mills Inc is the parent company."
100,Snack Works,Snack Works,MONDELEZ INTERNATIONAL INC,0.4607995038601871,Snack Works | Snack Works,MONDELEZ INTERNATIONAL INC,Yes,"Snack Works is a brand under Mondelez International, which owns various snack brands including cookies and crackers."
101,Knott's Berry Farm,J.M. Smucker,SMUCKER (JM) CO,0.6006726023783876,Knott's Berry Farm | J.M. Smucker,SMUCKER (JM) CO,No,"Knott's Berry Farm is a theme park owned by Cedar Fair, while J.M. Smucker is a food brand known for products like jams and jellies. SMUCKER (JM) CO refers to the J.M. Smucker Company. They are not related entities."
102,LU,Mondelez International,MONDELEZ INTERNATIONAL INC,0.7490133662981286,LU | Mondelez International,MONDELEZ INTERNATIONAL INC,Yes,"LU refers to a brand owned by Mondelez International, and Mondelez International Inc is the full name of the parent company."
103,Archer Daniels Midland,Archer Daniels Midland,ARCHER-DANIELS-MIDLAND CO,0.8037501717243233,Archer Daniels Midland | Archer Daniels Midland,ARCHER-DANIELS-MIDLAND CO,Yes,"Both names refer to Archer Daniels Midland Company, often abbreviated as ADM, which is a global food processing and commodities trading corporation."
104,Bran-Zan,Bran-Zan,CONAGRA BRANDS INC,0.3052950136461054,Bran-Zan | Bran-Zan,CONAGRA BRANDS INC,No,There is no known relationship or ownership connection between Bran-Zan and Conagra Brands Inc.
105,Cadbury Adams,Mondelez International,MONDELEZ INTERNATIONAL INC,0.6999094445466224,Cadbury Adams | Mondelez International,MONDELEZ INTERNATIONAL INC,Yes,"Cadbury Adams is a brand under the ownership of Mondelez International, and Mondelez International Inc. refers to the corporate entity that owns this and other brands."
106,Donna Karan Cosmetics,Este Lauder,ESTEE LAUDER COMPANIES INC,0.5871565264571617,Donna Karan Cosmetics | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Donna Karan Cosmetics is a brand owned by Estee Lauder, which is part of the Estee Lauder Companies Inc."
107,Jacobs Suchard,Mondelez International,MONDELEZ INTERNATIONAL INC,0.6600383479118781,Jacobs Suchard | Mondelez International,MONDELEZ INTERNATIONAL INC,Yes,"Jacobs Suchard is a brand under Mondelez International, and Mondelez International Inc is the full legal name of the parent company."
108,Millstone Coffee,J.M. Smucker,SMUCKER (JM) CO,0.602444158896946,Millstone Coffee | J.M. Smucker,SMUCKER (JM) CO,Yes,"Millstone Coffee is a brand owned by J.M. Smucker, and JM SMUCKER CO refers to the parent company, J.M. Smucker Company."
109,Inter-American Foods,Kroger,KROGER CO,0.5960605732085801,Inter-American Foods | Kroger,KROGER CO,Yes,"Inter-American Foods is a brand or subsidiary under Kroger, and KROGER CO is the parent company. Therefore, they refer to the same overarching company structure."
110,Turkey Store,Hormel Foods,HORMEL FOODS CORP,0.6133418235484062,Turkey Store | Hormel Foods,HORMEL FOODS CORP,Yes,"Turkey Store is a brand or product line associated with Hormel Foods, and Hormel Foods Corp is the parent company."
